IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,fd00:2:fd00:1:fd00:1:fd00:1,60114,2603:1036:308:2819::2,443,-1,Unknown,unknown,TLS,Closed,,80,0,1,0,2026-01-04T08:13:32.903-08:00,2026-01-04T08:13:32.903-08:00
6,38.3.16.54,443,253.0.0.2,60114,-1,Unknown,unknown,TLS,Closed,,40,0,1,0,2026-01-04T08:13:32.904-08:00,2026-01-04T08:13:32.904-08:00
17,10.215.173.1,21293,10.215.173.2,53,-1,Unknown,unknown,DNS,Closed,scs-config-use2.bixbyllm.com,74,186,1,1,2026-01-04T08:13:32.906-08:00,2026-01-04T08:13:32.944-08:00
17,10.215.173.1,23305,10.215.173.2,53,-1,Unknown,unknown,DNS,Closed,userlocation.googleapis.com,73,185,1,1,2026-01-04T08:13:32.907-08:00,2026-01-04T08:13:32.949-08:00
17,10.215.173.1,30339,10.215.173.2,53,-1,Unknown,unknown,DNS,Closed,scs-use2.bixbyllm.com,67,172,1,1,2026-01-04T08:13:32.908-08:00,2026-01-04T08:13:32.950-08:00
17,10.215.173.1,23547,10.215.173.2,53,-1,Unknown,unknown,DNS,Closed,m.hotmail.com,59,314,1,1,2026-01-04T08:13:32.909-08:00,2026-01-04T08:13:32.959-08:00
17,10.215.173.1,62193,10.215.173.2,53,10258,Google Play services,com.google.android.gms,DNS,Closed,userlocation.googleapis.com,73,201,1,1,2026-01-04T08:13:32.911-08:00,2026-01-04T08:13:32.945-08:00
17,10.215.173.1,1623,10.215.173.2,53,10120,Samsung Intelligence Service,com.samsung.android.intellivoiceservice,DNS,Closed,scs-config-use2.bixbyllm.com,74,124,1,1,2026-01-04T08:13:32.913-08:00,2026-01-04T08:13:32.943-08:00
17,10.215.173.1,60788,10.215.173.2,53,10120,Samsung Intelligence Service,com.samsung.android.intellivoiceservice,DNS,Closed,scs-use2.bixbyllm.com,67,110,1,1,2026-01-04T08:13:32.914-08:00,2026-01-04T08:13:32.943-08:00
17,10.215.173.1,40828,10.215.173.2,53,10347,Email,com.samsung.android.email.provider,DNS,Closed,m.hotmail.com,59,278,1,1,2026-01-04T08:13:32.915-08:00,2026-01-04T08:13:32.961-08:00
17,10.215.173.1,61302,10.215.173.2,53,10258,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,119,1,1,2026-01-04T08:13:32.935-08:00,2026-01-04T08:13:32.953-08:00
17,10.215.173.1,3026,10.215.173.2,53,10258,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,107,1,1,2026-01-04T08:13:32.937-08:00,2026-01-04T08:13:32.954-08:00
6,10.215.173.1,56960,142.250.99.188,5228,10258,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,2009,1420,9,11,2026-01-04T08:13:32.958-08:00,2026-01-04T08:13:33.106-08:00
6,10.215.173.1,52336,52.96.119.114,443,10347,Email,com.samsung.android.email.provider,HTTPS,Closed,m.hotmail.com,3235,2737,7,7,2026-01-04T08:13:33.016-08:00,2026-01-04T08:14:33.993-08:00
6,10.215.173.1,56966,142.250.99.188,5228,10258,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1385,1224,8,9,2026-01-04T08:13:33.117-08:00,2026-01-04T08:14:33.993-08:00
17,10.215.173.1,38269,10.215.173.2,53,10076,Meta Services,com.facebook.services,DNS,Closed,z-m-gateway.facebook.com,70,126,1,1,2026-01-04T08:13:34.411-08:00,2026-01-04T08:13:34.480-08:00
17,10.215.173.1,15437,10.215.173.2,53,10076,Meta Services,com.facebook.services,DNS,Closed,z-m-gateway.facebook.com,70,114,1,1,2026-01-04T08:13:34.414-08:00,2026-01-04T08:13:34.453-08:00
6,10.215.173.1,42010,57.144.216.3,443,10076,Meta Services,com.facebook.services,HTTPS,Closed,z-m-gateway.facebook.com,4662,5795,36,31,2026-01-04T08:13:34.487-08:00,2026-01-04T08:22:58.783-08:00
17,10.215.173.1,53482,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,i-fallback.instagram.com,70,131,1,1,2026-01-04T08:13:43.245-08:00,2026-01-04T08:13:43.317-08:00
17,10.215.173.1,50292,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,i-fallback.instagram.com,70,119,1,1,2026-01-04T08:13:43.249-08:00,2026-01-04T08:13:43.319-08:00
17,10.215.173.1,31866,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,test-gateway.instagram.com,72,135,1,1,2026-01-04T08:13:43.297-08:00,2026-01-04T08:13:43.313-08:00
17,10.215.173.1,50057,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,test-gateway.instagram.com,72,123,1,1,2026-01-04T08:13:43.300-08:00,2026-01-04T08:13:43.311-08:00
6,fd00:2:fd00:1:fd00:1:fd00:1,34044,2a03:2880:f201:d8:face:b00c:0:21ba,443,10422,Instagram,com.instagram.android,TLS,Closed,,80,0,1,0,2026-01-04T08:13:43.353-08:00,2026-01-04T08:13:43.353-08:00
6,10.215.173.1,43140,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.443-08:00,2026-01-04T08:13:43.635-08:00
6,10.215.173.1,43150,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.446-08:00,2026-01-04T08:13:43.642-08:00
6,10.215.173.1,43160,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.447-08:00,2026-01-04T08:13:43.625-08:00
6,10.215.173.1,43162,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.449-08:00,2026-01-04T08:13:43.676-08:00
6,10.215.173.1,43170,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.452-08:00,2026-01-04T08:13:43.963-08:00
6,10.215.173.1,43178,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.457-08:00,2026-01-04T08:13:43.660-08:00
6,10.215.173.1,43190,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.463-08:00,2026-01-04T08:13:43.664-08:00
6,10.215.173.1,43198,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.465-08:00,2026-01-04T08:13:43.649-08:00
6,10.215.173.1,43212,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.466-08:00,2026-01-04T08:13:43.661-08:00
6,10.215.173.1,43222,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.467-08:00,2026-01-04T08:13:43.683-08:00
6,42.3.40.128,443,253.0.0.2,34044,10422,Instagram,com.instagram.android,TLS,Closed,,135,0,3,0,2026-01-04T08:13:43.468-08:00,2026-01-04T08:14:43.491-08:00
6,10.215.173.1,56736,157.240.3.142,443,10422,Instagram,com.instagram.android,HTTPS,Closed,test-gateway.instagram.com,704,1719,7,5,2026-01-04T08:13:43.513-08:00,2026-01-04T08:13:43.772-08:00
6,10.215.173.1,43224,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:43.533-08:00,2026-01-04T08:13:43.762-08:00
6,10.215.173.1,43230,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:45.500-08:00,2026-01-04T08:13:45.660-08:00
6,10.215.173.1,43234,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:45.539-08:00,2026-01-04T08:13:45.667-08:00
6,10.215.173.1,43248,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:45.543-08:00,2026-01-04T08:13:45.697-08:00
17,10.215.173.1,33535,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,scontent.xx.fbcdn.net,67,95,1,1,2026-01-04T08:13:45.547-08:00,2026-01-04T08:13:45.571-08:00
17,10.215.173.1,45237,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,scontent.xx.fbcdn.net,67,83,1,1,2026-01-04T08:13:45.548-08:00,2026-01-04T08:13:45.566-08:00
6,10.215.173.1,43250,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:45.561-08:00,2026-01-04T08:13:45.733-08:00
6,10.215.173.1,58264,57.144.216.128,443,10422,Instagram,com.instagram.android,HTTPS,Closed,scontent.xx.fbcdn.net,460,1787,6,5,2026-01-04T08:13:45.743-08:00,2026-01-04T08:13:45.792-08:00
6,10.215.173.1,43264,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:46.020-08:00,2026-01-04T08:13:46.326-08:00
6,fd00:2:fd00:1:fd00:1:fd00:1,50628,2a03:2880:f357:c0:face:b00c:0:43fe,443,10422,Instagram,com.instagram.android,TLS,Closed,i-fallback.instagram.com,80,0,1,0,2026-01-04T08:13:46.171-08:00,2026-01-04T08:13:46.171-08:00
6,42.3.40.128,443,253.0.0.2,50628,10422,Instagram,com.instagram.android,TLS,Closed,,135,0,3,0,2026-01-04T08:13:46.307-08:00,2026-01-04T08:14:46.443-08:00
6,10.215.173.1,43272,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:46.788-08:00,2026-01-04T08:13:46.966-08:00
6,10.215.173.1,43288,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:46.790-08:00,2026-01-04T08:13:46.952-08:00
6,10.215.173.1,43294,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:46.792-08:00,2026-01-04T08:13:46.965-08:00
